iter	Passed	Remaining
0	3	1155
1	6	1032
2	9	942
3	12	902
4	14	873
5	17	860
6	20	851
7	22	834
8	25	820
9	28	814
10	30	804
11	33	800
12	36	798
13	38	792
14	41	790
15	44	788
16	46	780
17	50	787
18	53	785
19	55	781
20	58	783
21	61	778
22	64	772
23	67	771
24	69	765
25	72	760
26	75	758
27	77	754
28	80	752
29	83	755
30	86	751
31	89	745
32	92	745
33	94	741
34	97	737
35	100	737
36	103	733
37	105	729
38	108	727
39	111	722
40	113	718
41	117	719
42	120	717
43	122	714
44	125	712
45	128	708
46	130	705
47	133	703
48	136	699
49	139	697
50	142	694
51	144	690
52	147	688
53	150	685
54	153	681
55	155	679
56	158	676
57	161	673
58	164	671
59	167	668
60	169	664
61	172	662
62	175	660
63	178	657
64	181	654
65	184	652
66	186	649
67	189	646
68	192	643
69	194	639
70	197	637
71	200	633
72	202	630
73	205	627
74	208	624
75	210	620
76	213	617
77	216	615
78	219	612
79	221	609
80	224	606
81	226	603
82	229	599
83	232	596
84	234	593
85	237	590
86	240	588
87	243	585
88	245	582
89	248	579
90	251	576
91	253	573
92	256	570
93	259	567
94	261	564
95	264	561
96	267	559
97	269	556
98	272	553
99	275	550
100	277	547
101	280	544
102	283	542
103	286	539
104	288	536
105	291	533
106	294	530
107	297	528
108	299	525
109	302	522
110	305	519
111	307	516
112	310	513
113	313	510
114	315	507
115	318	504
116	320	501
117	323	499
118	326	496
119	329	493
120	332	491
121	334	488
122	337	485
123	340	483
124	342	480
125	345	477
126	348	474
127	350	471
128	353	468
129	356	466
130	359	463
131	362	461
132	365	458
133	367	455
134	370	452
135	373	449
136	375	446
137	378	444
138	381	441
139	384	439
140	386	436
141	389	433
142	392	430
143	395	427
144	397	425
145	400	422
146	403	419
147	405	416
148	408	413
149	411	411
150	413	408
151	416	405
152	418	402
153	421	399
154	423	396
155	426	393
156	429	390
157	431	387
158	434	385
159	436	382
160	439	379
161	441	376
162	444	373
163	446	370
164	449	367
165	451	364
166	454	361
167	456	358
168	459	356
169	461	353
170	464	350
171	466	347
172	469	344
173	472	341
174	474	339
175	477	336
176	479	333
177	482	330
178	484	327
179	487	324
180	489	322
181	492	319
182	494	316
183	497	313
184	500	310
185	502	308
186	505	305
187	507	302
188	510	299
189	512	296
190	515	294
191	517	291
192	520	288
193	522	285
194	525	282
195	528	280
196	530	277
197	533	274
198	535	271
199	538	269
200	540	266
201	543	263
202	545	260
203	548	258
204	550	255
205	553	252
206	556	249
207	558	247
208	561	244
209	563	241
210	566	238
211	568	236
212	571	233
213	574	230
214	576	228
215	579	225
216	582	222
217	584	219
218	587	217
219	589	214
220	592	211
221	595	209
222	597	206
223	600	203
224	602	200
225	605	198
226	608	195
227	610	192
228	613	190
229	616	187
230	618	184
231	620	182
232	623	179
233	626	176
234	628	173
235	631	171
236	633	168
237	636	165
238	639	163
239	642	160
240	644	157
241	647	155
242	649	152
243	652	149
244	655	147
245	658	144
246	661	141
247	664	139
248	668	136
249	671	134
250	675	131
251	679	129
252	682	126
253	686	124
254	690	121
255	695	119
256	698	116
257	701	114
258	704	111
259	706	108
260	709	106
261	712	103
262	715	100
263	718	97
264	721	95
265	723	92
266	726	89
267	729	87
268	731	84
269	734	81
270	737	78
271	740	76
272	743	73
273	747	70
274	749	68
275	752	65
276	755	62
277	757	59
278	760	57
279	763	54
280	766	51
281	769	49
282	771	46
283	774	43
284	777	40
285	779	38
286	781	35
287	784	32
288	787	29
289	790	27
290	792	24
291	795	21
292	797	19
293	800	16
294	803	13
295	805	10
296	808	8
297	810	5
298	813	2
299	815	0
